zoneid,layerid,a,b,stdb,mmax,stdmmax,strike,dip,rake,geometry,aspect ratio,msr,tectonic zone,region,tectonic subregion,concerns,zmin,zmax,mechanism,new style,strike2,dip2,rake2,mechanism2,mmin,centroid,source_name,id
22,1,3.34,0.73,0.1,8.8,0.2,308.0,31.0,108.0,"POLYGON ((82.21 27.47, 82.95 29.43, 82.97 29.42, 85.93 28.34, 87.55 27.75, 87.06 26.23, 87.06 26.22, 82.21 27.47))",2,StrasserInterface,Subduction interface,Himalayas - Main Frontal Thrust,subduction interface,,0.0,25.0,reverse,reverse,107.2,60.7,79.5,reverse,4.5,POINT (84.84 27.75),zone 22,z22
57,1,6.79,1.35,0.1,7.2,0.4,244.0,48.0,-77.0,"POLYGON ((93.08 9.99, 94.45 13.23, 97.30 13.41, 95.73 9.99, 93.08 9.99))",2,WC1994,Active shallow crust,Andaman-Sumatra,active shallow crust normal,,0.0,25.0,normal,normal,45.0,43.6,-104.0,normal,4.5,POINT (95.16 11.67),zone 57,z57
58,1,4.95,0.95,0.06,8.4,0.4,151.0,75.0,180.0,"POLYGON ((93.09 9.99, 95.73 9.99, 96.54 6.81, 100.77 3.60, 98.01 2.86, 94.09 5.95, 93.09 9.99))",2,WC1994,Active shallow crust,Andaman-Sumatra,active shallow crust strike-slip reverse,,0.0,25.0,dextral,strike-slip,241.0,90.0,15.0,sinistral,4.5,POINT (96.21 6.33),zone 58,z58
63,1,4.01,0.95,0.05,8.2,0.4,298.0,39.0,136.0,"POLYGON ((67.88 22.49, 67.88 25.57, 71.76 25.50, 71.83 22.52, 67.88 22.49))",2,WC1994,Stable continental,Peninsular India,stable shallow crust,,0.0,25.0,reverse,reverse,64.9,64.1,59.8,reverse,4.5,POINT (69.83 24.02),zone 63,z63
66,1,3.45,0.86,0.11,7.0,0.3,58.0,83.0,25.0,"POLYGON ((67.85 19.71, 67.88 22.49, 71.83 22.52, 72.27 22.52, 72.35 19.78, 72.35 19.77, 71.16 19.75, 67.85 19.71))",2,WC1994,Stable continental,Peninsular India,stable shallow crust,,0.0,25.0,sinistral,strike-slip,324.7,65.2,172.3,dextral,4.5,POINT (70.08 21.12),zone 66,z66
71,1,0.0,0.81,0.05,5.8,0.3,,,,"POLYGON ((67.85 19.71, 71.16 19.75, 72.86 15.84, 74.46 12.31, 75.54 8.94, 77.25 7.25, 75.35 4.94, 77.91 3.38, 82.07 8.72, 79.75 10.23, 80.45 11.06, 81.20 13.99, 81.20 14.01, 82.87 16.84, 84.03 16.57, 86.69 18.68, 86.72 15.35, 84.59 11.31, 83.95 6.51, 84.69 2.00, 84.68 2.00, 73.55 1.99, 73.55 2.01, 71.28 11.43, 67.85 19.71))",2,WC1994,Oceanic crust,Bay of Bengal & Arabian Sea,no seismicity,,0.0,25.0,undefined,undefined,270.0,90.0,89.0,reverse,4.5,POINT (77.97 9.88),zone 71,z71
74,1,2.57,0.86,0.07,6.5,0.3,284.0,47.0,68.0,"POLYGON ((73.27 19.85, 76.12 20.48, 80.67 17.38, 75.41 16.37, 73.27 19.85))",2,WC1994,Stable continental,Peninsular India,stable shallow crust,,0.0,25.0,reverse,reverse,134.6,47.3,111.9,reverse,4.5,POINT (76.54 18.37),zone 74,z74
75,1,3.91,1.19,0.12,6.4,0.3,,,,"POLYGON ((76.12 20.48, 78.09 20.84, 82.51 18.57, 80.67 17.38, 76.12 20.48))",2,WC1994,Stable continental,Peninsular India,stable shallow crust,,0.0,25.0,undefined,undefined,270.0,90.0,89.0,reverse,4.5,POINT (79.46 19.22),zone 75,z75
81,1,2.65,0.86,0.12,6.2,0.3,,,,"POLYGON ((78.36 13.68, 78.64 15.58, 80.67 17.38, 80.70 17.38, 82.87 16.84, 81.20 14.01, 78.36 13.68, 78.36 13.68))",2,WC1994,Stable continental,Peninsular India,stable shallow crust,,0.0,25.0,undefined,undefined,270.0,90.0,89.0,reverse,4.5,POINT (80.47 15.48),zone 81,z81
82,1,3.14,1.01,0.13,6.1,0.3,51.0,66.0,64.0,"POLYGON ((77.62 11.53, 78.36 13.68, 81.20 14.01, 81.20 13.99, 80.45 11.06, 77.62 11.53))",2,WC1994,Stable continental,Peninsular India,stable shallow crust,,0.0,25.0,reverse,reverse,281.2,34.8,134.6,reverse,4.5,POINT (79.48 12.55),zone 82,z82
86,1,0.0,0.81,0.05,6.3,0.2,,,,"POLYGON ((75.35 4.94, 79.75 10.23, 82.07 8.72, 77.91 3.38, 75.35 4.94))",2,WC1994,Stable continental,"Sri Lanka, Laccadive Sea",no seismicity,,0.0,25.0,undefined,undefined,270.0,90.0,89.0,reverse,4.5,POINT (78.74 6.79),zone 86,z86
87,2,5.97,1.16,0.06,8.1,0.3,150.0,89.0,166.0,"POLYGON ((75.91 38.87, 73.19 38.86, 71.15 38.37, 70.91 38.31, 67.81 37.55, 68.30 38.82, 72.71 39.99, 78.86 39.99, 78.46 38.87, 75.91 38.87))",2,StrasserInterface,Subduction interface,Pamir,subduction interface,,25.0,70.0,dextral,strike-slip,240.2,76.0,1.0,sinistral,4.5,POINT (73.29 39.13),zone 87,z87
88,2,6.07,1.22,0.09,8.0,0.4,210.0,73.0,4.0,"POLYGON ((70.71 37.79, 69.60 35.85, 67.08 35.37, 67.81 37.55, 70.91 38.31, 71.15 38.37, 70.71 37.79))",2,StrasserInterface,Subduction interface,Hindu Kush,subduction interface,,25.0,70.0,sinistral,strike-slip,118.8,86.2,163.0,dextral,4.5,POINT (68.93 36.83),zone 88,z88
89,2,5.29,1.11,0.06,7.3,0.4,340.0,68.0,94.0,"POLYGON ((72.93 36.59, 71.86 35.89, 69.60 35.85, 70.71 37.79, 72.93 36.59))",2,StrasserInterface,Subduction interface,Hindu Kush,subduction interface,,25.0,70.0,reverse,reverse,149.4,22.3,80.2,reverse,4.5,POINT (71.16 36.61),zone 89,z89
90,2,5.8,1.2,0.06,8.0,0.4,210.0,52.0,-36.0,"POLYGON ((75.91 38.87, 75.29 36.96, 72.93 36.59, 70.71 37.79, 71.15 38.37, 73.19 38.86, 75.91 38.87))",2,StrasserInterface,Subduction interface,Pamir,subduction interface,,25.0,70.0,normal,normal,324.1,62.4,-136.0,normal,4.5,POINT (73.50 37.84),zone 90,z90
91,2,4.72,0.95,0.11,7.4,0.3,63.0,33.0,16.0,"POLYGON ((75.91 38.87, 78.46 38.86, 80.97 38.03, 84.15 38.03, 85.57 35.29, 80.22 35.27, 75.29 36.96, 75.91 38.87))",2,StrasserInterface,Subduction interface,Kunlun,subduction interface,,25.0,70.0,sinistral,reverse,319.5,81.4,122.0,reverse,4.5,POINT (80.34 36.97),zone 91,z91
92,2,4.8,1.05,0.1,8.3,0.4,194.0,66.0,-5.0,"POLYGON ((69.60 35.85, 71.84 35.88, 70.76 33.98, 69.68 33.04, 66.99 30.69, 66.98 30.69, 65.41 32.73, 67.08 35.37, 69.60 35.85))",2,StrasserInterface,Subduction interface,Hindu Kush,subduction interface,,25.0,70.0,sinistral,strike-slip,286.0,85.4,-155.9,sinistral,4.5,POINT (68.32 33.75),zone 92,z92
93,2,5.66,1.18,0.09,8.3,0.4,196.0,77.0,-2.0,"POLYGON ((69.68 33.04, 71.78 30.03, 69.34 27.63, 66.98 30.69, 69.68 33.04))",2,StrasserInterface,Subduction interface,Sulaiman,subduction interface,,25.0,70.0,sinistral,strike-slip,286.5,88.1,-167.0,sinistral,4.5,POINT (69.42 30.35),zone 93,z93
94,2,4.51,0.98,0.09,8.3,0.4,11.0,89.0,-6.0,"POLYGON ((65.41 32.73, 69.34 27.63, 68.84 25.40, 68.09 22.65, 66.31 24.82, 63.92 27.72, 65.41 32.73))",2,StrasserInterface,Subduction interface,Makran,subduction interface,,25.0,70.0,sinistral,strike-slip,101.1,84.0,-179.0,sinistral,4.5,POINT (66.68 27.67),zone 94,z94
95,2,4.35,0.94,0.13,7.6,0.4,23.0,79.0,167.0,"POLYGON ((66.31 24.82, 60.14 23.50, 60.14 27.20, 63.92 27.72, 66.31 24.82))",2,StrasserInterface,Subduction interface,Makram,subduction interface,,25.0,70.0,dextral,strike-slip,115.5,77.2,11.3,sinistral,4.5,POINT (62.64 25.66),zone 95,z95
97,2,3.77,0.93,0.12,7.2,0.4,196.0,77.0,-2.0,"POLYGON ((69.68 33.04, 70.76 33.98, 76.00 31.00, 74.08 28.40, 71.79 30.02, 71.78 30.03, 69.68 33.04))",2,StrasserInterface,Subduction interface,"North Afghanistan, south of mountains",subduction interface,,25.0,70.0,sinistral,strike-slip,286.5,88.1,-167.0,sinistral,4.5,POINT (72.82 31.25),zone 97,z97
98,2,5.36,1.17,0.1,7.1,0.4,322.0,89.0,-108.0,"POLYGON ((74.82 34.60, 77.88 33.47, 77.25 32.08, 76.60 30.66, 76.00 31.00, 73.63 32.35, 74.82 34.60))",2,StrasserInterface,Subduction interface,Himalayas,subduction interface,,25.0,70.0,normal,normal,228.9,18.0,-3.2,sinistral,4.5,POINT (75.78 32.74),zone 98,z98
99,2,5.23,1.15,0.1,7.1,0.4,275.0,76.0,-18.0,"POLYGON ((70.76 33.98, 71.86 35.89, 72.93 36.59, 75.36 35.62, 73.63 32.35, 70.76 33.98))",2,StrasserInterface,Subduction interface,,subduction interface,,25.0,70.0,sinistral,strike-slip,9.5,72.6,-165.3,sinistral,4.5,POINT (73.08 34.62),zone 99,z99
100,2,4.76,1.07,0.09,7.1,0.4,89.0,89.0,-13.0,"POLYGON ((75.29 36.96, 80.22 35.27, 78.32 34.44, 72.93 36.59, 75.29 36.96))",2,StrasserInterface,Subduction interface,Karakoram,subduction interface,,25.0,70.0,sinistral,strike-slip,179.2,77.0,-179.0,sinistral,4.5,POINT (76.75 35.77),zone 100,z100
101,2,5.28,1.19,0.1,6.8,0.4,349.0,40.0,-117.0,"POLYGON ((85.57 35.29, 84.57 33.23, 78.32 34.44, 80.22 35.27, 85.57 35.29))",2,StrasserInterface,Subduction interface,Tibetan plateau,subduction interface,,25.0,70.0,normal,normal,202.6,55.1,-69.1,normal,4.5,POINT (82.47 34.48),zone 101,z101
102,2,5.17,1.19,0.11,6.8,0.4,154.0,86.0,-165.0,"POLYGON ((85.57 35.29, 87.77 35.06, 90.45 35.41, 91.64 32.93, 87.06 32.75, 87.05 32.75, 84.57 33.23, 85.57 35.29))",2,StrasserInterface,Subduction interface,Tibetan plateau,subduction interface,,25.0,70.0,sinistral,strike-slip,62.9,75.0,-4.1,sinistral,4.5,POINT (88.12 33.98),zone 102,z102
103,2,5.2,1.14,0.09,7.2,0.4,225.0,70.0,-36.0,"POLYGON ((77.88 33.47, 74.82 34.60, 75.36 35.62, 78.32 34.44, 84.57 33.23, 87.05 32.75, 87.06 32.75, 91.64 32.93, 92.03 32.12, 92.50 31.15, 92.61 30.90, 87.55 31.02, 84.55 31.72, 80.61 32.49, 79.44 32.95, 79.41 32.96, 77.92 33.45, 77.88 33.47))",2,StrasserInterface,Subduction interface,"Ladakh, Zanskar, Tibetan",subduction interface,,25.0,70.0,normal,normal,329.0,56.5,-155.8,sinistral,4.5,POINT (84.44 32.72),zone 103,z103
110,2,3.58,0.78,0.06,8.8,0.2,290.0,23.0,82.0,"POLYGON ((77.25 32.08, 79.13 31.19, 81.23 30.27, 83.91 29.12, 83.28 27.17, 76.60 30.66, 77.25 32.08, 77.25 32.08))",2,StrasserInterface,Subduction interface,Himalayas,subduction interface,,25.0,70.0,reverse,reverse,118.7,67.2,93.4,reverse,4.5,POINT (80.41 29.67),zone 110,z110
116,2,6.23,1.3,0.12,7.0,0.2,207.0,59.0,-92.0,"POLYGON ((90.45 35.41, 97.59 31.52, 98.86 28.24, 98.27 28.57, 92.03 32.12, 91.64 32.93, 90.45 35.41))",2,StrasserInterface,Subduction interface,Bangong-Nujiang,subduction interface,,25.0,70.0,normal,normal,30.9,31.1,-86.7,normal,4.5,POINT (94.76 31.82),zone 116,z116
118,2,4.67,1.05,0.12,7.2,0.4,301.0,89.0,-141.0,"POLYGON ((93.47 26.91, 94.07 26.10, 93.18 25.12, 91.78 26.74, 91.82 26.74, 93.47 26.91))",2,StrasserInterface,Subduction interface,Mikir Hills,subduction interface,,25.0,70.0,normal,normal,210.2,51.0,-1.3,sinistral,4.5,POINT (93.04 26.19),zone 118,z118
119,2,3.81,0.91,0.1,8.3,0.2,112.0,40.0,90.0,"POLYGON ((91.78 26.74, 93.18 25.12, 91.40 25.12, 90.56 25.12, 89.72 25.13, 89.72 26.53, 91.78 26.74))",2,WC1994,Intraplate margin,Shillong plateau,intraplate margin lower,,25.0,70.0,reverse,reverse,292.0,50.0,90.0,reverse,4.5,POINT (91.17 25.82),zone 119,z119
128,2,4.01,0.88,0.07,7.9,0.3,216.0,64.0,3.0,"POLYGON ((93.41 23.13, 93.75 24.04, 95.35 23.55, 95.21 21.16, 93.52 20.76, 93.41 23.13))",2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,,25.0,70.0,sinistral,strike-slip,124.7,87.3,154.0,dextral,4.5,POINT (94.34 22.40),zone 128,z128
129,2,4.71,1.04,0.11,6.9,0.3,317.0,85.0,-121.0,"POLYGON ((93.52 20.76, 95.21 21.16, 95.71 18.33, 95.42 15.88, 93.39 15.65, 93.76 18.44, 93.52 20.76))",2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,,25.0,70.0,normal,normal,218.7,31.4,-9.6,sinistral,4.5,POINT (94.57 18.30),zone 129,z129
130,2,5.4,1.24,0.12,6.5,0.3,146.0,67.0,60.0,"POLYGON ((93.39 15.65, 95.42 15.88, 94.54 13.80, 92.45 13.67, 93.39 15.65))",2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,,25.0,70.0,reverse,reverse,21.9,37.1,139.7,reverse,4.5,POINT (93.96 14.74),zone 130,z130
131,2,4.15,0.84,0.07,8.6,0.3,256.0,43.0,-12.0,"POLYGON ((92.45 13.67, 94.54 13.80, 93.58 11.55, 93.19 9.56, 93.55 7.68, 91.85 7.06, 91.29 10.08, 92.45 13.67))",2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,,25.0,70.0,sinistral,normal,354.8,81.8,-132.4,normal,4.5,POINT (92.67 10.60),zone 131,z131
132,2,4.4,0.87,0.06,9.4,0.2,298.0,14.0,79.0,"POLYGON ((93.55 7.68, 97.50 2.46, 94.92 2.20, 91.85 7.06, 93.55 7.68))",2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,,25.0,70.0,reverse,reverse,129.3,76.3,92.7,reverse,4.5,POINT (94.55 4.75),zone 132,z132
136,2,4.49,0.98,0.12,7.6,0.3,171.0,88.0,171.0,"POLYGON ((97.52 15.92, 95.81 11.31, 93.58 11.55, 95.42 15.88, 97.52 15.92))",2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,,25.0,70.0,dextral,strike-slip,261.3,81.0,2.0,sinistral,4.5,POINT (95.58 13.62),zone 136,z136
137,2,7.33,1.57,0.16,6.5,0.3,282.0,89.0,-29.0,"POLYGON ((95.81 11.31, 95.28 9.54, 93.19 9.56, 93.58 11.55, 95.81 11.31))",2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,,25.0,70.0,sinistral,strike-slip,12.6,61.0,-178.9,sinistral,4.5,POINT (94.45 10.51),zone 137,z137
138,2,5.62,1.1,0.09,8.3,0.3,64.0,80.0,18.0,"POLYGON ((95.28 9.54, 95.87 7.67, 99.71 3.32, 97.50 2.46, 93.55 7.68, 93.19 9.56, 95.28 9.54))",2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,,25.0,70.0,sinistral,strike-slip,330.8,72.3,169.5,dextral,4.5,POINT (96.15 6.03),zone 138,z138
153,3,6.13,1.1,0.03,7.9,0.3,247.0,44.0,94.0,"POLYGON ((72.88 36.96, 70.16 34.16, 68.29 35.76, 68.30 35.77, 71.50 38.29, 72.88 36.96))",2,StrasserIntraslab,Subduction intraslab,Hindu Kush,subduction intraslab Himalayas,,70.0,180.0,reverse,reverse,61.4,46.1,86.1,reverse,4.5,POINT (70.64 36.24),zone 153,z153
154,3,6.37,1.28,0.09,7.3,0.3,100.0,80.0,-169.0,"POLYGON ((76.41 38.88, 76.76 37.77, 73.81 37.72, 72.88 36.96, 71.50 38.29, 72.87 39.01, 76.41 38.88))",2,StrasserIntraslab,Subduction intraslab,Pamir,subduction intraslab Himalayas,,70.0,180.0,sinistral,strike-slip,8.1,79.2,-10.2,sinistral,4.5,POINT (74.09 38.23),zone 154,z154
162,3,4.31,0.97,0.12,7.3,0.3,176.0,58.0,147.0,"POLYGON ((96.54 27.54, 98.10 26.91, 96.44 24.94, 93.82 26.05, 96.16 27.43, 96.54 27.54))",2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,,70.0,180.0,reverse,reverse,285.0,62.5,36.7,reverse,4.5,POINT (96.12 26.30),zone 162,z162
163,3,5.6,1.07,0.06,8.3,0.3,283.0,46.0,55.0,"POLYGON ((93.82 26.05, 96.44 24.94, 95.04 21.64, 91.93 22.74, 93.82 26.05))",2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,,70.0,180.0,reverse,reverse,148.2,53.9,120.7,reverse,4.5,POINT (94.28 23.81),zone 163,z163
164,3,4.14,0.9,0.12,7.3,0.3,194.0,65.0,22.0,"POLYGON ((91.93 22.74, 95.04 21.64, 96.71 16.82, 93.27 17.07, 91.93 22.74))",2,StrasserIntraslab,Subduction intraslab,Indo-Myanmar,subduction intraslab,,70.0,180.0,sinistral,strike-slip,94.3,70.2,153.3,dextral,4.5,POINT (94.21 19.50),zone 164,z164
166,3,5.02,1.01,0.11,8.0,0.4,270.0,61.0,46.0,"POLYGON ((92.40 8.52, 92.27 14.67, 94.92 15.22, 95.28 9.54, 92.40 8.52))",2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,,70.0,180.0,reverse,reverse,153.3,51.0,141.4,reverse,4.5,POINT (93.70 11.94),zone 166,z166
167,3,5.41,1.07,0.09,8.0,0.3,206.0,49.0,46.0,"POLYGON ((92.40 8.52, 95.28 9.54, 99.07 3.47, 97.60 3.06, 94.29 2.13, 92.40 8.52))",2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,,70.0,180.0,reverse,reverse,81.8,57.1,128.6,reverse,4.5,POINT (95.38 5.68),zone 167,z167
169,4,4.78,0.84,0.04,8.6,0.3,305.0,81.0,-113.0,"POLYGON ((71.52 37.72, 71.54 37.66, 71.97 36.11, 72.16 35.44, 69.10 34.64, 68.65 37.27, 71.52 37.72))",2,StrasserIntraslab,Subduction intraslab,Hindu Kush,subduction intraslab Himalayas,only YCSH97 includes events to this depth,180.0,300.0,normal,normal,194.8,24.6,-22.1,sinistral,4.5,POINT (70.33 36.24),zone 169,z169
170,4,5.96,1.35,0.1,7.0,0.3,103.0,67.0,92.0,"POLYGON ((71.52 37.72, 71.27 38.59, 74.96 39.04, 74.99 36.87, 71.97 36.11, 71.54 37.66, 71.52 37.72))",2,StrasserIntraslab,Subduction intraslab,Pamir,subduction intraslab Himalayas,only YCSH97 includes events to this depth,180.0,300.0,reverse,reverse,277.9,23.1,85.3,reverse,4.5,POINT (73.24 37.68),zone 170,z170
172,4,3.72,0.86,0.1,8.0,0.3,99.0,64.0,-50.0,"POLYGON ((94.35 1.99, 90.01 13.46, 94.12 14.72, 98.48 3.49, 94.35 1.99))",2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,only YCSH97 includes events to this depth,180.0,300.0,normal,normal,216.6,46.5,-142.8,normal,4.5,POINT (94.24 8.39),zone 172,z172
901,1,4.39,0.9,0.11,7.6,0.4,273.0,80.0,18.0,"POLYGON ((72.93 36.59, 75.29 36.96, 80.22 35.27, 85.57 35.29, 84.86 33.35, 78.32 34.44, 72.93 36.59))",2,WC1994,Active shallow crust,"Chang Chenmo, Aksai Chin",active shallow crust strike-slip reverse,,0.0,25.0,sinistral,strike-slip,179.8,72.3,169.5,dextral,4.5,POINT (79.96 35.08),zone 901,z901
902,1,4.19,0.86,0.12,7.8,0.4,212.0,48.0,-61.0,"POLYGON ((74.64 34.65, 75.34 35.63, 78.32 34.44, 84.86 33.35, 87.23 32.88, 91.36 32.92, 91.38 32.92, 92.57 31.14, 89.17 30.98, 89.13 30.98, 89.12 30.98, 87.64 31.01, 87.55 31.02, 85.48 31.50, 80.61 32.49, 79.40 32.89, 77.54 33.52, 74.64 34.65))",2,WC1994,Active shallow crust,Tibetan plateau,active shallow crust normal,,0.0,25.0,normal,normal,352.4,49.5,-118.3,normal,4.5,POINT (84.20 32.79),zone 902,z902
903,1,5.19,1.12,0.12,7.0,0.4,104.0,64.0,-45.0,"POLYGON ((60.06 22.83, 66.66 25.14, 67.88 25.57, 67.88 22.49, 61.85 20.06, 60.06 22.83))",2,WC1994,Active shallow crust,Murray Ridge,active shallow crust normal,oceanic not continental,0.0,25.0,normal,normal,217.7,50.5,-145.4,normal,4.5,POINT (64.34 22.77),zone 903,z903
